Study ,Country ,AI system name/ developer,Study type,Number of participants or images,Who provided the reference standard,DR classification system used,Sensitivity (95% CI) for referable DR,Specificity (95% CI) for referable DR,AUC (95% CI) for referable DR,Referable DR threshold,Other reported outcomes
Sosale et al(1),India,Medios Al,Prospective,922 participants,Five retinal specialists,ICDRS,93% (91.3 to 94.7),92.5% (90.8 to 94.2),0.88,Moderate NPDR or worse and/or presence of DME,None
Bahl and Rao(2),India,Medios Al,Prospective,250 participants,None,NS,NS,NS,NS,NS,197 gradable images
Natarajan et al(3),India,Medios Al,Prospective,231 participants,Two ophthalmologists,ICDRS,100%,88.4%,NS,Moderate NPDR or worse and/or presence of DME,None
Jain et al(4),India,Medios Al,Prospective,1378 participants,Two vitreo-retinal surgeons,ICDRS,100% (94.72 to 100),89.55% (87.76 to 91.16),NS,Moderate NPDR or worse (macular signs not specified) ,None
Ting et al(5),"China, Australia, Singapore, USA",SELENA+,Retrospective,18913 participants,Ophthalmologist and retina specialist,ICDRS,NS,NS,0.963 (0.956 to 0.969),Moderate NPDR or,DLS system was
Bellemo et al(6),Zambia,SELENA+,Retrospective,1574 participants,Two trained graders,ICDRS,92.25% (90.10 to 94.12),89.04% (87.85 to 90.28),0.973 (0.969 to 0.978)," Moderate NOPDR or worse, DME or an ungradable image",None
Ting et al(7),"China, Mexico, Singapore",SELENA+,Retrospective,14880 participants (in validation set),Varied between datasets,ICDRS,90.5% (87.3 to 93.0),91.6% (91.0 to 92.2),0.936 (0.925 to 0.943),") Moderate NODR or worse, DME or an ungradable image",DLS performance for detecting possible glaucoma and AMD also reported
Sayres et al(8),India and USA,Google,Retrospective,1612 participants,Three retinal specialists,ICDRS,91.50%,94.70%,NS,Moderate or worse DR (macular signs not specified),Human graders assisted by AI improved grading accuracy
Raumviboonsuk et al(9),Thailand,Google,Retrospective,7517 participants,Two retinal specialists,ICDRS,96.8% (89.3 to 99.3),95.6% (98.3 to 98.7),98.7% (97.7 to 99.5)," Publication did not specify RDR, these figures are taken
for the detection of
moderate NPDR or
worse. Referable
DME data were also
reported","Algorithm was
statistically significantly
better than local Thai
graders"
Gulshan et al(10),India,Google,Prospective,3049 participants,"A trained grader and
a retinal specialist",ICDRS,"Aravind: 88.9% (85.8
to 91.5)
Sankara: 92.1% (90.1
to 93.8)*","Aravind: 92.2% (90.3
to 93.8)
Sankara: 95.2%
(94.2 to 96.1).*","*Aravind: 0.963.
Sankara: 0.980","Moderate NPDR
or worse and/or
presence of DME",None
Gulshan et al(11),India and USA,Google,Retrospective," Does not specify
how many images
from India used to
train model","Seven and eight
ophthalmologists
graded the images
from the Messidor-2
and
EyePACS-1
datasets,
respectively",ICDRS,"EyePACS-1: 97.5%
(95.8 to 98.7)
Messidor-2: 96.1%
(92.4 to 93.8)†","EyePACS-1: 93.4%
(92.8 to 94.0)
Messidor-2: 93.9%
(92.4 to 95.3)†","EyePACS-1: 0.991
(0.988 to 0.993)
Messidor-2: 0.990
(0.986 to 0.995)†","Moderate NPDR
or worse and/or
presence of DME","Algorithm performance
tested at different cutoffs (high sensitivity,
high specificity. etc)"
Bora et al(12),"Thailand and
USA",Google,Retrospective,6791 participants,"One ophthalmologist
graded each image
from a pool of 11",ICDRS,N/A,N/A,N/A,N/A,"AUC for predicting
risk of developing
DR at 2 years from
normal fundus image
at baseline 0.70 (0.67
to 0.74)"
"Ruamviboosnuk
et al(13)",Thailand,Google,Prospective,7651 participants,Three retinal specialists,ICDRS,95.1% (91.8 to 97.9),89.3% (85.8 to 92.3),NS,"Moderate NPDR or worse, DME or an ungradable image",Qualitative interviews revealed that nurses positively viewed the system but concerns were expressed about images deemed ungradable by the DLS and the additional time required for image upload
Al-Turk et al(14),"Kenya, China, Saudi Arabia",DAPHNE,Retrospective,"e Kenya: 24700
images
China: 15000
images","China: NS
Kenya: Moorfields
Eye Hospital retinal
image reading
center","Kenya: ICDRS
China: UK NSC
guidelines","Kenya:
94.28% (93.1 to 95.22)
China:
95.51% (93.1 to 97.5)",Kenya: 92.12% (88.27 to 93.33) China: 91.11% (85.11 to 92.63),NS,UK NSC guideline and ICDRS (moderate or worse DR) classifications used to determine referral threshold including presence of DME,None
Al-Turk et al(15),"Kenya, China,
Saudi Arabia",DAPHNE,Retrospective,49726 images,NS,"Kenya: ICDRS
China: UK NSC
guidelines","Kenya: 92.03% (91.2
to 92.9)
China: 92.9% (91.4
to 94.2)","Kenya: 93.0% (92.7
to 93.4)
China: 94.4% (94.1
to 97.8)",NS,"Kenya: moderate
NPDR or worse
using ICDRS criteria
and/or presence of
DME
China: UK NSC cutoff used (includes
presence of DME)",Ability of DAPHNE to detect non-DR pathology was assessed; sensitivity and specificity data not reported due to small number of cases
"Rajalakshmi
et al(16)",India,"EyeArt software
(V.2.1.0)",Prospective,301 participants,"Two
ophthalmologists",ICDRS,99.3% (96.1 to 99.9),68.8% (61.5 to 76.2),NS,"Moderate NPDR
or worse and/or
presence of DME",None
Zhang et al(17),China,VolexCloud,Prospective,15805 participants,"Two specialist
graders",ICDRS,83.3% (81.9 to 84.6),92.5% (92.1 to 92.9),NS,"Moderate NPDR
or worse (DME
assessed separately)","Prevalence data in
Chinese population
reported"
